names,links,min_salary,max_salary,currency,site
"Разработчик Python, Django",https://adsrv.hh.ru/click?b=366344&c=30&meta=ViJeUIep4XXZYHNRkASndnrkut7w46OGGYVaG1nG3FT80XSA-IIa6gKqAmlvwQHgJiZu0oVomiC5DpITREDxB_3vADSGjwKOJM6In_25XvrsMzLn3MKLF1LV2wAaxgjSaOBQixy6IZ5PQNuJueThj3z4nAv4z_ll1rZN3FC7CWyjzzqSyKelJtHLQm3Z-Ud7Si5_OqLSN_EYvotsEm6joA%3D%3D&place=35&clickType=link_to_vacancy,200000,0,руб.,https://hh.ru/search/vacancy
Дата-инженер / Data Engineer,https://dankov.hh.ru/vacancy/71236005?from=vacancy_search_list&query=python,130000,0,руб.,https://hh.ru/search/vacancy
"Python Developer (проект ""Маркетинг "") Middle",https://dankov.hh.ru/vacancy/76968960?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Аналитик данных / Data Analyst,https://dankov.hh.ru/vacancy/69166398?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Аналитик данных / Data Analyst,https://dankov.hh.ru/vacancy/76869170?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
"Python Developer (проект ""Маркетинг БКП"") Middle",https://dankov.hh.ru/vacancy/76978400?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
"Python Developer (проект ""Маркетинг"") Senior",https://dankov.hh.ru/vacancy/76976985?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Senior DevOps Engineer (Yepp),https://dankov.hh.ru/vacancy/71486585?from=vacancy_search_list&query=python,5000,7000,EUR,https://hh.ru/search/vacancy
"Java разработчик в команду ""Навыки""",https://dankov.hh.ru/vacancy/76713727?from=vacancy_search_list&query=python,350000,0,руб.,https://hh.ru/search/vacancy
QA тестировщик в IT-компанию ZorDoc,https://dankov.hh.ru/vacancy/76927269?from=vacancy_search_list&query=python,8000000,15000000,сум,https://hh.ru/search/vacancy
Специалист по углубленной аналитике данных (Data scientist),https://dankov.hh.ru/vacancy/72920605?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Разработчик Python+MS SQL+1C,https://dankov.hh.ru/vacancy/76852114?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Специалист службы поддержки с техническими знаниями (TOOLS),https://dankov.hh.ru/vacancy/73595104?from=vacancy_search_list&query=python,15000,39000,руб.,https://hh.ru/search/vacancy
Преподаватель по робототехнике и программированию,https://dankov.hh.ru/vacancy/75904017?from=vacancy_search_list&query=python,300000,0,KZT,https://hh.ru/search/vacancy
